名称,邮编
淄博长安电力工具有限公司,262306.0
山东电力集团公司淄博供电公司,266100.0
成都希盟泰克科技发展有限公司,200940.0
赫成文,730000.0
南昌大学,410004.0
沈一钫,161444.0
北京光电技术研究所,543002.0
侯马市鑫海工务工程有限公司,
湖南继善高科技有限责任公司,530007.0
陈一平,401120.0
浙江金丽温高速公路有限公司,
阿尔卡特朗讯公司,750021.0
广东展翠食品股份有限公司,430010.0
张晓刚,264000.0
电子科技大学,211167.0
贵州电网公司信息通信分公司,
广东工业大学,610031.0
西安西科测控设备有限责任公司,300350.0
上海华申智能卡应用系统有限公司,330013.0
北京理工大学,330013.0
黄山市祁门华盛茶业有限公司,100041.0
天津博诺机器人技术有限公司,250101.0
金文成,300072.0
中铁西南科学研究院有限公司,255000.0
菲力尔系统公司,262306.0
刘召东,610041.0
山东电力集团公司青岛供电公司,611756.0
吴瑞祥,75100.0
广东维克光电技术有限公司,330096.0
广东惠利普路桥信息工程有限公司,255000.0
武汉理工光科股份有限公司,201199.0
国网上海市电力公司,610031.0
苏和生,250061.0
广东省南粤交通韶赣高速公路管理中心,100010.0
武汉理工大学,272112.0
松下电器产业株式会社,34000.0
山东华天电子科技有限公司,410012.0
广东凯乐斯光电科技有限公司,323000.0
丽水市海威光控科技有限公司,
浙江大学,515634.0
南京铁道职业技术学院,401520.0
李志恒,201199.0
姜廷顺,210000.0
张立,550003.0
重庆市鹏创道路材料有限公司,510090.0
中铁二十五局集团轨道交通工程有限公司,710119.0
中铁二十五局集团有限公司,200031.0
昆明联诚科技股份有限公司,100081.0
机械工业第六设计研究院有限公司,245000.0
华北电力大学（保定）,300457.0
西安宝康硕电子通讯科技有限公司,430074.0
天津市军联科技有限公司,610073.0
中山大学,
西安越度机电科技有限公司,262613.0
李成,610031.0
清华大学,201199.0
浙江永通科技发展有限公司,266000.0
王爱玲,266100.0
至库停车信息服务有限公司,50019.0
上海市电力公司,528400.0
上海久隆电力科技有限公司,528400.0
云南远信科技有限公司,430223.0
云南电网有限责任公司昆明供电局,100031.0
云南鼎坤科技有限公司,311700.0
国网浙江省电力公司,430070.0
国网浙江省电力公司嘉兴供电公司,
安徽师范大学,250101.0
保山迷你食品有限公司,250101.0
厦门瑞兆能源科技有限公司,528322.0
泰克莱克公司,323000.0
山东科一力电气有限公司,310027.0
国网电力科学研究院,210031.0
王中美,250061.0
郑州扬天汇达信息科技有限公司,100084.0
李兆军,610031.0
天津智易时代科技发展有限公司,610031.0
北京交通大学,710064.0
宁波市镇海基成机械制造有限公司,610041.0
常州志得电子有限公司,400084.0
苏州海兹思纳米科技有限公司,510600.0
中铁十三局集团第五工程有限公司,650051.0
中铁十三局集团有限公司,450007.0
陕西重型汽车有限公司,410083.0
洪正中,200092.0
沈阳中科博微自动化技术有限公司,71000.0
沈阳新一代信息技术有限公司,400026.0
叶高峰,610031.0
苏州明动新材料科技有限公司,225009.0
石家庄供电公司,710075.0
河北省电力公司,310058.0
中铁十二局集团有限公司,250061.0
郑州弗曼智能设备科技有限公司,300070.0
久盛电气股份有限公司,510275.0
华茂云天科技(北京)有限公司,710075.0
成都四为电子信息股份有限公司,710064.0
国网吉林省电力有限公司经济技术研究院,710075.0
无锡北斗星通信息科技有限公司,210019.0
华通远航(北京)科技发展有限公司,618300.0
张家港智能电力研究院有限公司,100084.0
于鑫阳,400084.0
上海纳杰电气成套有限公司,323000.0
宾得励精科技(上海)有限公司,54300.0
纳格拉影像股份有限公司,271000.0
中国电力科学研究院,200122.0
北京智芯微电子科技有限公司,650011.0
张家港市玉同电子科技有限公司,610031.0
中冶建工集团有限公司,650500.0
周开壹,100031.0
孙学军,400067.0
长沙鸿汉电子有限公司,610031.0
中铁二局股份有限公司,241000.0
内蒙古德辰信息网络科技有限责任公司,400084.0
上海市隧道工程轨道交通设计研究院,678000.0
中交宇科（北京）空间信息技术有限公司,361000.0
中国公路工程咨询集团有限公司,
中国水利水电第四工程局有限公司,330013.0
飞思卡尔半导体公司,610031.0
重庆铁科轨道交通工程有限公司,250101.0
长沙恩德科技有限公司,210003.0
北京市政建设集团有限责任公司,430074.0
湖南宏阳科技有限公司,518133.0
陈天贵,450001.0
吉林省交通科学研究所,163000.0
微软公司,300457.0
湖南中能力华新能源技术有限公司,300392.0
南京市宏伟屠宰机械制造有限公司,300457.0
浙江海洋学院,100044.0
网宿科技股份有限公司,315200.0
清华大学深圳研究生院,213200.0
金传华,215000.0
武汉邮电科学研究院,310030.0
郑州众创汇达电气有限公司,300072.0
国网河南省电力公司郑州供电公司,610000.0
中铁第四勘察设计院集团有限公司,610000.0
南京智达康无线通信科技股份有限公司,710200.0
郑州宇通客车股份有限公司,361000.0
江苏紫光吉地达环境科技有限公司,110179.0
国网山西省电力公司信息通信分公司,110167.0
武汉科迪奥电力科技有限公司,246318.0
北京航空航天大学,215000.0
成都星宇节能技术股份有限公司,
诺基亚公司,201199.0
毛振刚,30024.0
安徽华沃生态肥业科技有限公司,450000.0
武汉虹旭信息技术有限责任公司,313000.0
饶志强,100097.0
中铁十局集团有限公司,610000.0
安徽佳乐建设机械有限公司,130000.0
浪潮电子信息产业股份有限公司,214016.0
沈漾春,100033.0
北京奇虎科技有限公司,100097.0
奇智软件（北京）有限公司,215000.0
赵晴堂,510130.0
刘永才,201111.0
余震海,201600.0
朱云彬,
上海民道信息科技有限公司,100085.0
国网湖南省电力公司,215600.0
国网湖南省电力公司永州供电分公司,130012.0
上海波汇通信科技有限公司,400084.0
无锡波汇光电科技有限公司,610031.0
江苏亚太轻合金科技股份有限公司,410205.0
刘东阳,412000.0
苏州科大微龙信息技术有限公司,610031.0
东莞市联讯系统科技有限公司,430070.0
南京东送电力工程有限公司,610041.0
普里凯许公司,12000.0
上海奥达光电子科技有限公司,200235.0
刘健,250061.0
广州吉飞电子科技有限公司,250101.0
盛年,100097.0
重庆大学,810007.0
北京诚骋成科技发展有限公司,
浙江生辉照明有限公司,201199.0
北京天融信科技有限公司,401121.0
西安电子科技大学,300350.0
福建省佳美集团公司,410000.0
胡荣,100041.0
贺文,411228.0
单强,130012.0
深圳市脑库计算机系统有限公司,
浙江宇清炉料科技有限公司,410000.0
交通运输部公路科学研究所,610031.0
长沙待霁电子科技有限公司,211223.0
黄冈市中基窑炉有限公司,401520.0
铁道第三勘察设计院集团有限公司,211223.0
北京市东区邮电局,316022.0
南通冰源冷冻设备有限公司,410000.0
公安部天津消防研究所,200333.0
中煤第五建设公司,610031.0
中铁二十局集团第三工程有限公司,250101.0
广东四通集团股份有限公司,430074.0
潮州市索力德机电设备有限公司,200030.0
烽火通信科技股份有限公司,518055.0
辽宁省电力有限公司沈阳供电公司,266071.0
天津银箭科技有限公司,430074.0
山东省科学院自动化研究所,100033.0
长沙伟诺机电有限公司,430063.0
中国计量学院,210042.0
上海电气自动化设计研究所有限公司,450016.0
梁耀,250061.0
陕西省交通建设集团公司蓝商分公司,224051.0
王国钧,225000.0
无锡中阳新能源科技有限公司,30001.0
国网浙江富阳市供电公司,100191.0
国网浙江省电力公司杭州供电公司,610000.0
盈亨科技(上海)有限公司,710077.0
天津市市政工程设计研究院,
罗轶,300010.0
中兴通讯股份有限公司,409600.0
国网天津市电力公司,246620.0
上海轨道交通设备发展有限公司,430074.0
长春希达电子技术有限公司,430072.0
朱祖阳,610031.0
厦门格绿能光电股份有限公司,610031.0
武汉日新科技照明有限公司,246005.0
山西四和交通工程有限责任公司,250014.0
北京华为数字技术有限公司,410000.0
陕西桥上桥锅炉容器制造有限责任公司,310015.0
福州富海电子科技有限公司,100088.0
国网电力科学研究院武汉南瑞有限责任公司,835000.0
广西电网公司电力科学研究院,644000.0
陕西中莱节能有限公司,201306.0
石家庄新华能源环保科技股份有限公司,100031.0
GG贝利有限责任公司,214028.0
西安联合交通设施工程有限公司,409600.0
北京南车时代信息技术有限公司,245000.0
广州中浩控制技术有限公司,310005.0
北京航天易联科技发展有限公司,214111.0
北京军地联合网络技术中心,466125.0
朱海涛,215011.0
段国民,523000.0
方超,211100.0
北京金日恒升科技有限公司,
大连理工大学,200083.0
李顺良,710048.0
天津光电高斯通信工程技术股份有限公司,250101.0
李观德,400067.0
长兴友邦电器有限公司,511400.0
重庆交通大学,518067.0
陕西子竹电子有限公司,245000.0
贡力,400044.0
沈瑜,528322.0
中煤科工集团武汉设计研究院,101300.0
欧米亚国际集团,
中国石油化工股份有限公司大连石油化工研究院,300350.0
中国石油化工股份有限公司,314500.0
吴华瑜,430070.0
成都西南交大科技园管理有限责任公司,100085.0
深圳市光时代科技发展有限公司,710071.0
中国石油大学（华东）,362500.0
浙江工业大学,350002.0
银川诚净和机械设备科技有限公司,401520.0
重庆市勘测院,518057.0
重庆数字城市科技有限公司,
中北大学,266003.0
四川华电木里河水电开发有限公司,313112.0
大唐移动通信设备有限公司,100088.0
河南中维电子科技有限公司,410000.0
武汉市武昌电控设备有限公司,438000.0
赵枫,300010.0
天津城建隧道股份有限公司,518000.0
黄国伟,100026.0
罗亲华,610031.0
刘文西,226000.0
北京兴盛华瑞光电科技有限公司,200092.0
南通中铁华宇电气有限公司,300350.0
苏州彤瑞飞行器技术研发有限公司,300381.0
北京世纪高通科技有限公司,400067.0
周瑞山,401520.0
吴林,201111.0
成都槟果科技有限公司,210016.0
邵和义,400065.0
张彦卿,521031.0
大连艾珂光电技术有限公司,201203.0
江苏中压电气工程有限公司,430074.0
嘉兴恒创电力设计研究院有限公司,430074.0
北京惠特优宝机电有限公司,300457.0
福建省交通科学技术研究所,200092.0
福州市公路局,100031.0
北京雷雨达科技有限公司,300010.0
湖北华夏窑炉工业(集团)有限公司,710064.0
全球通讯公司,250014.0
张丽丽,410203.0
查闻,310018.0
凯文·李·弗里斯特,200023.0
上海腾盛智能安全科技股份有限公司,250000.0
昆明医科大学第一附属医院,710000.0
武汉科技大学,100081.0
北京洛神科技有限公司,214000.0
西安奥赛福科技有限公司,410082.0
江苏特友诺新材料科技有限公司,610031.0
杭州华三通信技术有限公司,100031.0
黄金富知识产权咨询(深圳)有限公司,350002.0
无锡高联信息技术有限公司,201203.0
黄生林,300051.0
郑州峰华电子有限责任公司,610031.0
天津市乾丰防腐保温工程有限公司,610045.0
北京邮电大学,300142.0
李宝,710064.0
中国科学院物理研究所,518129.0
莫儒就,215123.0
曲阜师范大学,543002.0
青岛阳浦智能科技有限公司,430063.0
广东省均安牛仔服装研究院,518057.0
武汉纺织大学,100031.0
中铁十八局集团有限公司,200233.0
中铁十八局集团第三工程有限公司,
宁波海曙优华电气有限公司,200233.0
中华联合多频道股份有限公司,710064.0
福州百菇生物技术有限公司,130103.0
福建省农业科学院食用菌研究所,101100.0
广东乡意浓农业科技有限公司,361006.0
四川长虹电器股份有限公司,430074.0
于卫波,30006.0
牛大伟,100085.0
米志超,30006.0
董超,714105.0
王海,350004.0
浙江立元通信技术股份有限公司,530023.0
成都迈通工程材料有限公司,300457.0
谭健,611130.0
杭州金享佳环保科技有限公司,710000.0
尚圣杰,400015.0
刘慕洁,51431.0
段刚涛,
佛山市新城开发建设有限公司,710075.0
上海海科工程咨询有限公司,610000.0
中国科学院合肥物质科学研究院,330029.0
浙江机电职业技术学院,100070.0
张锐,710075.0
杜爱民,510070.0
梁旭文,310013.0
无锡乐尔科技有限公司,100074.0
重庆博沃发动机配件制造有限公司,750021.0
中国移动通信集团公司,100007.0
北京科东电力控制系统有限责任公司,330002.0
浙江警安科技有限公司,637000.0
深圳市同洲电子股份有限公司,510310.0
交互数字专利控股公司,102628.0
陕西汽车集团有限责任公司,710043.0
魅力能源公司,400067.0
刘祥锋,116024.0
武汉大学,
贵州开磷（集团）有限责任公司,646100.0
上海铂珏传感科技有限公司,300210.0
西安扩力机电科技有限公司,313017.0
重庆四联光电科技有限公司,313112.0
西北工业大学,400074.0
上海三思科技发展有限公司,400084.0
上海三思电子工程有限公司,710075.0
中交第二航务工程局有限公司,323000.0
中交武汉智行国际工程咨询有限公司,410203.0
湖南联智桥隧技术有限公司,730060.0
任锴,430064.0
国网陕西省电力公司延安供电公司,610031.0
苏州晶能科技有限公司,
苏州市苏电科技研究所,100728.0
无锡津天阳激光电子有限公司,410004.0
深圳市迅朗科技有限公司,250101.0
山东星志智能交通科技有限公司,710119.0
深圳茂硕电源科技股份有限公司,518057.0
北京神州数码思特奇信息技术股份有限公司,362000.0
有限会社日本通商,610031.0
厦门市智联信通物联网科技有限公司,518037.0
深圳华宏联创科技有限公司,266580.0
刘兴军,430223.0
诺兹（天津）照明电器有限公司,610031.0
张立永,310014.0
马俊,750001.0
浙江宇视科技有限公司,610031.0
四川隧唐科技股份有限公司,
中国水利水电科学研究院,400020.0
成都市华为赛门铁克科技有限公司,30051.0
上海交通大学,100044.0
华北电力大学,300350.0
刘世昌,610031.0
刘.特拉维斯,710075.0
刘筠,100083.0
湖南华宏铁路高新科技开发有限公司,450008.0
中国农业科学院茶叶研究所,430070.0
姜永辉,610031.0
佛山正能量节能科技有限公司,410000.0
山东中信电力技术有限公司,100033.0
中国建筑第八工程局有限公司,300000.0
西安秦码软件科技有限公司,510500.0
陕西高速电子工程有限公司,274000.0
小米科技有限责任公司,101408.0
文山市滇珍菌业有限公司,100084.0
深圳市全智聚能科技有限公司,226599.0
南京汉德森科技股份有限公司,215000.0
南昌祥美照明设计有限公司,100088.0
上海纳米技术及应用国家工程研究中心有限公司,226599.0
江西方兴科技有限公司,226500.0
李子川,610031.0
张健,201101.0
安徽派雅新能源股份有限公司,226600.0
武汉市市政工程机械化施工公司,610041.0
邢海明,230000.0
俞隽,201199.0
北京大学,116600.0
北京龙软科技发展有限公司,210000.0
苏州德鲁森自动化系统有限公司,210000.0
黄涛,311802.0
南京交通职业技术学院,100084.0
彭高培,518129.0
孙涛,314000.0
夏春蕾,215000.0
上海隧道工程有限公司,100162.0
杨程闲,710038.0
杭州冠啸电子科技有限公司,550025.0
网飞亚技术公司,250061.0
中国水利水电第七工程局有限公司,350002.0
四川大学,100124.0
河北汉唐宏远环保科技有限公司,201203.0
烟台九州环保节能科技有限公司,323000.0
北京乐动卓越科技有限公司,438000.0
康佳集团股份有限公司,
宁德新能源科技有限公司,266000.0
刘荣杰,255000.0
中山市拓维电子科技有限公司,610031.0
吴永先,
广西交通科学研究院,710043.0
陕西公众智能科技有限公司,201800.0
张秋生,30051.0
杭州海康威视数字技术股份有限公司,272100.0
浙江省交通科学研究院,650032.0
杭州道联电子技术有限公司,650032.0
路桥集团国际建设股份有限公司,430081.0
江苏苏龙环保科技有限公司,100048.0
诺基亚通信公司,710075.0
抚顺挖掘机制造有限责任公司,521031.0
朴君,212141.0
上海波汇科技股份有限公司,310052.0
国网山东省电力公司,518028.0
浙江琅盛光电科技股份有限公司,310013.0
中国铁道科学研究院基础设施检测研究所,214192.0
中国铁道科学研究院,650224.0
四川海金汇光电有限公司,610000.0
刘兴,450052.0
国际商业机器公司,400084.0
黄石市华裕机电有限公司,301600.0
广西大学,100876.0
三星电子株式会社,241200.0
广州品韵信息科技有限公司,300384.0
中国联合网络通信有限公司广州市分公司,100190.0
陈建平,528300.0
黄明荣,273165.0
成都金隧自动化工程有限责任公司,266000.0
皇家飞利浦电子股份有限公司,710064.0
西安南风云电力科技有限公司,323000.0
天津正大华为电器有限公司,528300.0
李周云,72750.0
姜旭东,315012.0
郝建,610031.0
河南省电力公司洛阳供电公司,
深圳市国电科技通信有限公司,350014.0
国网河北省电力公司,
何熠,610031.0
冯守中,519070.0
辛国树,610031.0
吴爱国,621000.0
杭州钛合智造电器有限公司,610031.0
上海电力设计院有限公司,210007.0
杨宇卓,430074.0
杨鸿年,361000.0
张德怀,310012.0
日照南瑞电气科技有限公司,610031.0
信诺药物技术有限公司,250101.0
无锡悟莘科技有限公司,100097.0
贵州钢绳股份有限公司,528000.0
安徽蓝盾光电子股份有限公司,438000.0
暨南大学,515634.0
北京华安奥特科技有限公司,100124.0
黄国华,410083.0
国网南京自动化研究院,271000.0
南京南瑞集团公司,250061.0
诺基亚西门子通信有限责任两合公司,430074.0
珠海华而美照明有限公司,311199.0
